time,dir,queue,vehicles,mean_speed
1.0,W,0,0,16.67
1.0,N,0,0,27.78
1.0,E,0,0,16.67
1.0,S,1,1,12.502500000000001
2.0,W,0,0,16.67
2.0,N,0,0,27.78
2.0,E,0,0,16.67
2.0,S,0,1,13.047914906839143
3.0,W,0,0,16.67
3.0,N,0,1,21.74683707631426
3.0,E,0,0,16.67
3.0,S,0,1,13.591542254589733
4.0,W,0,1,14.079067888923456
4.0,N,0,1,22.364524382890668
4.0,E,0,0,16.67
4.0,S,0,1,13.94013000285835
5.0,W,0,1,14.704130504656352
5.0,N,0,1,22.94806609173189
5.0,E,0,1,14.783456331326162
5.0,S,0,2,12.194863851167028
6.0,W,0,1,15.102375857378357
6.0,N,0,2,18.29071130988654
6.0,E,0,1,15.164023167398993
6.0,S,0,4,10.663346609391326
7.0,W,0,1,15.530401008882329
7.0,N,0,2,19.152340447830504
7.0,E,0,2,14.468400823356351
7.0,S,0,4,12.272278087075467
8.0,W,0,1,16.01047407957143
8.0,N,0,2,20.061529936394656
8.0,E,0,2,15.568092416101136
8.0,S,0,4,13.7716745185196
9.0,W,0,1,16.424123235943604
9.0,N,0,3,18.390422246410843
9.0,E,0,3,14.049197263005167
9.0,S,0,4,15.13693691827718
10.0,W,0,2,14.884333015832063
10.0,N,0,3,18.94082637501033
10.0,E,0,3,15.117607798327262
10.0,S,0,4,14.972756048564504
11.0,W,0,2,15.514969336834445
11.0,N,0,3,19.94731527440075
11.0,E,0,3,15.559877981887844
11.0,S,0,4,14.51788596563595
12.0,W,0,2,15.791108124877034
12.0,N,0,3,19.726963419470536
12.0,E,0,3,16.068274535978084
12.0,S,0,4,14.787860310492924
13.0,W,0,2,16.457269746163334
13.0,N,0,3,18.462669072165646
13.0,E,0,3,16.34064984158229
13.0,S,0,4,15.275270975371477
14.0,W,0,2,15.890294872821851
14.0,N,0,3,18.273540249472045
14.0,E,0,3,16.169512679873115
14.0,S,0,4,15.486264877989685
15.0,W,0,0,16.67
15.0,N,0,3,17.916121486840705
15.0,E,0,3,15.324162961088229
15.0,S,0,4,15.260893411650894
16.0,W,0,0,16.67
16.0,N,0,2,19.15886385309954
16.0,E,0,2,15.658940251633478
16.0,S,0,4,14.750038091750973
17.0,W,0,1,15.585270845291827
17.0,N,0,2,19.938750337612362
17.0,E,0,2,14.578767173543373
17.0,S,0,4,14.025169144590873
18.0,W,0,1,15.966640129651799
18.0,N,0,2,20.63500323436536
18.0,E,0,3,13.162421304977652
18.0,S,0,3,15.365849365502072
19.0,W,0,1,16.200812240362723
19.0,N,0,3,19.6139841700903
19.0,E,0,3,12.415593046717184
19.0,S,0,4,12.179839985740045
20.0,W,0,2,15.83459322373217
20.0,N,0,3,20.416885918418032
20.0,E,0,2,12.266446178676034
20.0,S,0,5,11.207082907678576
