time,intersection,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
10,Vefa_244500423,0,0,0,11,L0(rs)|L1(s)|L2(s) / L0(rs)|L1(s) / L0(rs)|L1(s)|L2(s) / L0(r)|L1(rs)|L2(ls),0,
10,Kulatov_244500424,0,0,0,9,L0(rs)|L1(s)|L2(ls) / L0(rs) / L0(rs)|L1(s)|L2(ls) / L0(rs)|L1(l),0,
10,Muka_280015410,0,0,0,6,L0(rs)|L1(ls) / L0(rs)|L1(l) / L0(rs)|L1(ls),0,
10,Gorko_280015414,0,0,0,8,L0(rs)|L1(s)|L2(l) / L0(rs)|L1(s) / L0(s)|L1(s)|L2(ls),0,
20,Vefa_244500423,0,0,0,11,L0(rs)|L1(s)|L2(s) / L0(rs)|L1(s) / L0(rs)|L1(s)|L2(s) / L0(r)|L1(rs)|L2(ls),0,
20,Kulatov_244500424,0,0,0,9,L0(rs)|L1(s)|L2(ls) / L0(rs) / L0(rs)|L1(s)|L2(ls) / L0(rs)|L1(l),0,
20,Muka_280015410,0,0,0,6,L0(rs)|L1(ls) / L0(rs)|L1(l) / L0(rs)|L1(ls),0,
20,Gorko_280015414,0,0,0,8,L0(rs)|L1(s)|L2(l) / L0(rs)|L1(s) / L0(s)|L1(s)|L2(ls),0,
30,Vefa_244500423,0,1,58.18,11,L0(rs)|L1(s)|L2(s) / L0(rs)|L1(s) / L0(rs)|L1(s)|L2(s) / L0(r)|L1(rs)|L2(ls),0,
30,Kulatov_244500424,0,1,56.41,9,L0(rs)|L1(s)|L2(ls) / L0(rs) / L0(rs)|L1(s)|L2(ls) / L0(rs)|L1(l),0,
30,Muka_280015410,0,0,0,6,L0(rs)|L1(ls) / L0(rs)|L1(l) / L0(rs)|L1(ls),0,
30,Gorko_280015414,0,0,0,8,L0(rs)|L1(s)|L2(l) / L0(rs)|L1(s) / L0(s)|L1(s)|L2(ls),0,
40,Vefa_244500423,0,0,0,11,L0(rs)|L1(s)|L2(s) / L0(rs)|L1(s) / L0(rs)|L1(s)|L2(s) / L0(r)|L1(rs)|L2(ls),0,
40,Kulatov_244500424,1,1,45.01,9,L0(rs)|L1(s)|L2(ls) / L0(rs) / L0(rs)|L1(s)|L2(ls) / L0(rs)|L1(l),0,
40,Muka_280015410,0,0,0,6,L0(rs)|L1(ls) / L0(rs)|L1(l) / L0(rs)|L1(ls),0,
40,Gorko_280015414,0,2,43.07,8,L0(rs)|L1(s)|L2(l) / L0(rs)|L1(s) / L0(s)|L1(s)|L2(ls),0,
50,Vefa_244500423,1,1,55.01,11,L0(rs)|L1(s)|L2(s) / L0(rs)|L1(s) / L0(rs)|L1(s)|L2(s) / L0(r)|L1(rs)|L2(ls),0,
50,Kulatov_244500424,0,2,55.61,9,L0(rs)|L1(s)|L2(ls) / L0(rs) / L0(rs)|L1(s)|L2(ls) / L0(rs)|L1(l),0,
50,Muka_280015410,0,0,0,6,L0(rs)|L1(ls) / L0(rs)|L1(l) / L0(rs)|L1(ls),0,
50,Gorko_280015414,1,1,40.01,8,L0(rs)|L1(s)|L2(l) / L0(rs)|L1(s) / L0(s)|L1(s)|L2(ls),0,
