time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
10,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
10,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
10,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
10,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
20,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
20,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
20,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
20,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
30,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
30,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
30,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
30,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
40,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
40,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
40,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
40,S,0,1,59.26,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
50,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
50,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
50,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
50,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
60,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
60,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
60,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
60,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
70,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
70,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
70,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
70,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
80,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
80,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
80,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
80,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
90,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
90,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
90,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
90,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
100,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
100,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
100,E,0,1,59.61,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
