time,vehicles,queue,speed
1.0,0,0,66.68
2.0,0,0,66.68
3.0,0,0,66.68
4.0,0,0,66.68
5.0,0,0,66.68
6.0,0,0,66.68
7.0,0,0,66.68
8.0,0,0,66.68
9.0,0,0,66.68
10.0,0,0,66.68
11.0,0,0,66.68
12.0,0,0,66.68
13.0,0,0,66.68
14.0,0,0,66.68
15.0,0,0,66.68
16.0,0,0,66.68
17.0,0,0,66.68
18.0,0,0,66.68
19.0,0,0,66.68
20.0,0,0,66.68
21.0,0,0,66.68
22.0,0,0,66.68
23.0,0,0,66.68
24.0,0,0,66.68
25.0,0,0,66.68
26.0,0,0,66.68
27.0,0,0,66.68
28.0,0,0,66.68
29.0,0,0,66.68
30.0,0,0,66.68
31.0,0,0,66.68
32.0,0,0,66.68
33.0,0,0,66.68
34.0,0,0,66.68
35.0,0,0,66.68
36.0,0,0,66.68
37.0,0,0,66.68
38.0,1,0,65.70478199195205
39.0,1,0,65.25050097055356
40.0,1,0,65.62042576434179
41.0,1,0,65.1322012659497
42.0,1,0,65.69613437513908
43.0,1,0,63.97089580531389
44.0,0,0,66.68
45.0,0,0,66.68
46.0,0,0,66.68
47.0,1,0,64.10733599993132
48.0,1,0,64.88592684390532
49.0,1,0,65.53959230691858
50.0,1,0,65.63810747527887
51.0,1,0,65.69332845471548
52.0,1,0,65.79986716912963
53.0,1,0,65.54410130440604
54.0,1,0,65.6912041833007
55.0,1,0,66.04667354683272
56.0,1,0,65.88392058579132
57.0,1,0,64.41110841495274
58.0,1,0,62.161108414952736
59.0,1,0,59.911108414952736
60.0,0,0,66.68
61.0,0,0,66.68
62.0,0,0,66.68
63.0,0,0,66.68
64.0,0,0,66.68
65.0,0,0,66.68
66.0,0,0,66.68
67.0,0,0,66.68
68.0,0,0,66.68
69.0,0,0,66.68
70.0,0,0,66.68
71.0,0,0,66.68
72.0,0,0,66.68
73.0,0,0,66.68
74.0,0,0,66.68
75.0,0,0,66.68
76.0,0,0,66.68
77.0,0,0,66.68
78.0,0,0,66.68
79.0,0,0,66.68
80.0,0,0,66.68
81.0,0,0,66.68
82.0,0,0,66.68
83.0,1,0,66.70601146023763
84.0,1,0,66.69373492456239
85.0,1,0,66.88812588660245
86.0,1,0,66.81029243318407
87.0,1,0,66.85298083361437
88.0,0,0,66.68
89.0,0,0,66.68
90.0,0,0,66.68
91.0,0,0,66.68
92.0,0,0,66.68
93.0,0,0,66.68
94.0,0,0,66.68
95.0,0,0,66.68
96.0,0,0,66.68
97.0,0,0,66.68
98.0,0,0,66.68
99.0,0,0,66.68
100.0,0,0,66.68
101.0,0,0,66.68
102.0,0,0,66.68
103.0,0,0,66.68
104.0,0,0,66.68
105.0,0,0,66.68
106.0,0,0,66.68
107.0,0,0,66.68
108.0,0,0,66.68
109.0,0,0,66.68
110.0,0,0,66.68
111.0,0,0,66.68
112.0,0,0,66.68
113.0,0,0,66.68
114.0,1,0,66.39176261838364
115.0,1,0,66.29445405632794
116.0,1,0,66.54621209838731
117.0,1,0,66.40116013538861
118.0,2,0,62.773069933100146
119.0,1,0,63.91147170294535
120.0,1,0,64.39151658859252
121.0,1,0,65.00891760847215
122.0,1,0,65.67481432050614
123.0,1,0,65.76020961755442
124.0,1,0,65.8570874749297
125.0,0,0,66.68
126.0,0,0,66.68
127.0,0,0,66.68
128.0,0,0,66.68
129.0,0,0,66.68
130.0,0,0,66.68
131.0,0,0,66.68
132.0,0,0,66.68
133.0,0,0,66.68
134.0,0,0,66.68
135.0,0,0,66.68
136.0,0,0,66.68
137.0,0,0,66.68
138.0,0,0,66.68
139.0,1,0,64.49716868873375
140.0,1,0,65.08164594132454
141.0,1,0,65.57251203662561
142.0,1,0,66.42894009441137
143.0,1,0,66.4436310739747
144.0,1,0,66.39033306877688
145.0,0,0,66.68
146.0,1,0,67.33297025938971
147.0,1,0,67.38516929372821
148.0,1,0,67.60731561027609
149.0,1,0,66.86626754255718
150.0,1,0,65.36626754255718
151.0,0,0,66.68
152.0,2,0,61.184303851202436
153.0,2,0,62.46614044221148
154.0,2,0,63.62627425905658
155.0,2,0,64.54181429809533
156.0,3,0,63.671857708173604
157.0,3,0,64.95446715226774
158.0,1,0,65.72580688335157
159.0,1,0,66.43301540822102
160.0,1,0,66.40099959700042
161.0,1,0,66.44676107211488
162.0,0,0,66.68
163.0,0,0,66.68
164.0,0,0,66.68
165.0,0,0,66.68
166.0,0,0,66.68
167.0,0,0,66.68
168.0,0,0,66.68
169.0,0,0,66.68
170.0,0,0,66.68
171.0,0,0,66.68
172.0,1,0,65.72031062803124
173.0,1,0,65.70596131702312
174.0,1,0,65.69163585960759
175.0,2,0,63.274270641572286
176.0,2,0,63.71859048656907
177.0,3,0,61.167013787890525
178.0,3,0,59.53799099385254
179.0,4,0,59.76561593592654
180.0,4,0,61.92466082439548
181.0,5,0,63.33899962920694
182.0,3,0,64.1930225317444
183.0,4,0,64.22211061854942
184.0,3,0,65.62320447140709
185.0,2,0,65.2473604352358
186.0,1,0,64.8978475012678
187.0,1,0,64.65377228933865
188.0,1,0,64.61189314103464
189.0,0,0,66.68
190.0,0,0,66.68
191.0,1,0,66.56276192947556
192.0,2,0,62.47395717793874
193.0,2,0,63.12103733860454
194.0,3,0,59.10914840339259
195.0,3,0,58.94215822797362
196.0,3,0,58.85499523781178
197.0,3,0,59.02772293022617
198.0,2,0,63.94437468568993
199.0,2,0,62.85596396455769
200.0,2,0,59.319710556557425
201.0,2,0,55.626352276637185
202.0,2,0,53.3187609941122
203.0,1,0,59.69921836618938
204.0,1,0,60.5848528346503
205.0,0,0,66.68
206.0,0,0,66.68
207.0,0,0,66.68
208.0,0,0,66.68
209.0,0,0,66.68
210.0,0,0,66.68
211.0,0,0,66.68
212.0,1,0,65.74153255957026
213.0,1,0,65.87910490113778
214.0,1,0,65.79497754044678
215.0,1,0,65.80256020398191
216.0,1,0,65.90352570869922
217.0,1,0,64.40352570869922
218.0,0,0,66.68
219.0,0,0,66.68
220.0,0,0,66.68
221.0,0,0,66.68
222.0,0,0,66.68
223.0,0,0,66.68
224.0,0,0,66.68
225.0,0,0,66.68
226.0,0,0,66.68
227.0,0,0,66.68
228.0,0,0,66.68
229.0,0,0,66.68
230.0,0,0,66.68
231.0,0,0,66.68
232.0,0,0,66.68
233.0,1,0,65.78517059787038
234.0,2,0,66.6234375045745
235.0,2,0,66.08081739939841
236.0,2,0,66.50661877210499
237.0,2,0,65.68774414912986
238.0,1,0,64.13026425754686
