epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6924,0.68283,1.5882,0.98401,1,0.85537,0.99266,0.87301,0.52363,2.47796,0.85178,0.00064,0.00064,0.00064
2,151.072,0.69819,1.14396,0.99311,0.745,0.89438,0.88434,0.59637,0.85441,2.11117,1.04815,0.0012571,0.0012571,0.0012571
3,225.001,0.80647,1.16577,1.03441,0.87798,0.95453,0.94392,0.74324,0.63823,1.6203,0.9356,0.00183064,0.00183064,0.00183064
4,303.293,0.80562,1.0459,1.03819,0.32553,0.31633,0.27174,0.16224,1.28984,5.68541,1.59946,0.001802,0.001802,0.001802
5,375.989,0.76198,0.90378,1.01079,0.91301,0.96389,0.96332,0.82583,0.55456,1.82353,0.88762,0.001736,0.001736,0.001736
6,448.477,0.71421,0.79108,0.99537,0.97978,0.98889,0.98941,0.88625,0.47785,0.66708,0.84042,0.00167,0.00167,0.00167
7,537.187,0.69897,0.72984,1.00797,0.99758,0.97959,0.99414,0.89357,0.49345,0.64883,0.84836,0.001604,0.001604,0.001604
8,611.735,0.68467,0.69379,0.97554,0.97992,0.99592,0.99244,0.8773,0.4497,0.6468,0.85061,0.001538,0.001538,0.001538
9,695.449,0.71758,0.63944,1.00073,0.97961,0.9898,0.9943,0.88445,0.47407,0.56726,0.83713,0.001472,0.001472,0.001472
10,772.666,0.67427,0.60557,0.97631,0.99603,1,0.995,0.8914,0.4059,0.56151,0.82466,0.001406,0.001406,0.001406
11,833.824,0.64076,0.57999,0.95281,0.99723,1,0.995,0.92112,0.37255,0.48532,0.81016,0.00134,0.00134,0.00134
12,883.445,0.58328,0.53719,0.94558,0.9899,0.99996,0.99177,0.89495,0.38637,0.44168,0.8153,0.001274,0.001274,0.001274
13,950.81,0.5791,0.49755,0.94624,0.99715,1,0.995,0.91347,0.3615,0.41547,0.81046,0.001208,0.001208,0.001208
14,998.148,0.54261,0.48955,0.93068,0.99294,1,0.995,0.93718,0.32767,0.35404,0.80153,0.001142,0.001142,0.001142
15,1045.96,0.54702,0.46051,0.93809,0.98751,1,0.995,0.90888,0.37296,0.37306,0.8122,0.001076,0.001076,0.001076
16,1094.08,0.56335,0.46735,0.95039,0.99423,1,0.995,0.92482,0.33018,0.36354,0.8046,0.00101,0.00101,0.00101
17,1141.39,0.52984,0.45936,0.9341,0.99504,1,0.995,0.93964,0.33111,0.33538,0.80285,0.000944,0.000944,0.000944
18,1188.87,0.51577,0.44753,0.94567,0.98714,1,0.995,0.96722,0.26869,0.31482,0.78808,0.000878,0.000878,0.000878
19,1236.6,0.4888,0.41657,0.9279,0.99692,1,0.995,0.9749,0.24375,0.27461,0.77723,0.000812,0.000812,0.000812
20,1284.03,0.46018,0.40592,0.91732,0.98987,1,0.995,0.9654,0.24405,0.25912,0.78104,0.000746,0.000746,0.000746
21,1330.14,0.31301,0.31294,0.81341,0.98798,1,0.995,0.97333,0.23119,0.29143,0.77643,0.00068,0.00068,0.00068
22,1376.67,0.29345,0.29681,0.8126,0.99717,1,0.995,0.97251,0.25693,0.25985,0.77357,0.000614,0.000614,0.000614
23,1424.27,0.31099,0.30126,0.81737,0.9794,1,0.99419,0.96771,0.2678,0.25638,0.77383,0.000548,0.000548,0.000548
24,1470.97,0.30325,0.28247,0.81438,0.99056,1,0.995,0.9787,0.24005,0.26009,0.7753,0.000482,0.000482,0.000482
25,1517.5,0.27284,0.26974,0.80023,0.99793,1,0.995,0.98027,0.21658,0.22555,0.76944,0.000416,0.000416,0.000416
26,1570.85,0.25151,0.25378,0.79567,0.9987,1,0.995,0.98754,0.19361,0.2033,0.76649,0.00035,0.00035,0.00035
27,1617.05,0.22942,0.23579,0.79583,0.99782,1,0.995,0.98866,0.17907,0.19115,0.76351,0.000284,0.000284,0.000284
28,1662.68,0.22486,0.22621,0.79045,0.99731,1,0.995,0.9893,0.16567,0.18867,0.76143,0.000218,0.000218,0.000218
29,1708.53,0.21334,0.21723,0.77858,0.99811,1,0.995,0.98855,0.16794,0.18537,0.76202,0.000152,0.000152,0.000152
30,1754.98,0.20659,0.21075,0.79086,0.99823,1,0.995,0.98855,0.1665,0.1726,0.76081,8.6e-05,8.6e-05,8.6e-05
